Domestic Passenger - Departures Performed (Flights)  (January 2000 - December 2015),,
Unit: (000),,
,,
Period,Scheduled,Model
Jan-00,623646,16214.796
Feb-00,605799,15750.774
Mar-00,666940,17340.44
Apr-00,635683,16527.758
May-00,672620,17488.12
Jun-00,660467,17172.142
Jul-00,682558,17746.508
Aug-00,692874,18014.724
Sep-00,658274,17115.124
Oct-00,692862,18014.412
Nov-00,657575,17096.95
Dec-00,646562,16810.612
Jan-01,677941,17626.466
Feb-01,614242,15970.292
Mar-01,683033,17758.858
Apr-01,652922,16975.972
May-01,674360,17533.36
Jun-01,655886,17053.036
Jul-01,693672,18035.472
Aug-01,707077,18384.002
Sep-01,527483,13714.558
Oct-01,588116,15291.016
Nov-01,562761,14631.786
Dec-01,580757,15099.682
Jan-02,614110,15966.86
Feb-02,571898,14869.348
Mar-02,639968,16639.168
Apr-02,626683,16293.758
May-02,640659,16657.134
Jun-02,642274,16699.124
Jul-02,673615,17513.99
Aug-02,679840,17675.84
Sep-02,626950,16300.7
Oct-02,815032,21190.832
Nov-02,766327,19924.502
Dec-02,781653,20322.978
Jan-03,785160,20414.16
Feb-03,690351,17949.126
Mar-03,797194,20727.044
Apr-03,766260,19922.76
May-03,789397,20524.322
Jun-03,798351,20757.126
Jul-03,831619,21622.094
Aug-03,830737,21599.162
Sep-03,781804,20326.904
Oct-03,818308,21276.008
Nov-03,765842,19911.892
Dec-03,798392,20758.192
Jan-04,787237,20468.162
Feb-04,761618,19802.068
Mar-04,834476,21696.376
Apr-04,817899,21265.374
May-04,833350,21667.1
Jun-04,836916,21759.816
Jul-04,871049,22647.274
Aug-04,882979,22957.454
Sep-04,819294,21301.644
Oct-04,861291,22393.566
Nov-04,820048,21321.248
Dec-04,836232,21742.032
Jan-05,807338,20990.788
Feb-05,760955,19784.83
Mar-05,866593,22531.418
Apr-05,838122,21791.172
May-05,872961,22696.986
Jun-05,863422,22448.972
Jul-05,887084,23064.184
Aug-05,890938,23164.388
Sep-05,814935,21188.31
Oct-05,831265,21612.89
Nov-05,797460,20733.96
Dec-05,802067,20853.742
Jan-06,785364,20419.464
Feb-06,715843,18611.918
Mar-06,823793,21418.618
Apr-06,794390,20654.14
May-06,824051,21425.326
Jun-06,820310,21328.06
Jul-06,852114,22154.964
Aug-06,866551,22530.326
Sep-06,799777,20794.202
Oct-06,828218,21533.668
Nov-06,792523,20605.598
Dec-06,805058,20931.508
Jan-07,803924,20902.024
Feb-07,724657,18841.082
Mar-07,830373,21589.698
Apr-07,809663,21051.238
May-07,844074,21945.924
Jun-07,832163,21636.238
Jul-07,863659,22455.134
Aug-07,872349,22681.074
Sep-07,805076,20931.976
Oct-07,841179,21870.654
Nov-07,804635,20920.51
Dec-07,803981,20903.506
Jan-08,793275,20625.15
Feb-08,746679,19413.654
Mar-08,817511,21255.286
Apr-08,799666,20791.316
May-08,820130,21323.38
Jun-08,815936,21214.336
Jul-08,844755,21963.63
Aug-08,823531,21411.806
Sep-08,728389,18938.114
Oct-08,758540,19722.04
Nov-08,707252,18388.552
Dec-08,720064,18721.664
Jan-09,709936,18458.336
Feb-09,659905,17157.53
Mar-09,747367,19431.542
Apr-09,728892,18951.192
May-09,749038,19474.988
Jun-09,760198,19765.148
Jul-09,794077,20646.002
Aug-09,781361,20315.386
Sep-09,709839,18455.814
Oct-09,726611,18891.886
Nov-09,694780,18064.28
Dec-09,704870,18326.62
Jan-10,694866,18066.516
Feb-10,623022,16198.572
Mar-10,739935,19238.31
Apr-10,722593,18787.418
May-10,741616,19282.016
Jun-10,751359,19535.334
Jul-10,782506,20345.156
Aug-10,781460,20317.96
Sep-10,718697,18686.122
Oct-10,737265,19168.89
Nov-10,704414,18314.764
Dec-10,702620,18268.12
Jan-11,681174,17710.524
Feb-11,625559,16264.534
Mar-11,754694,19622.044
Apr-11,720117,18723.042
May-11,743824,19339.424
Jun-11,756735,19675.11
Jul-11,783853,20380.178
Aug-11,767983,19967.558
Sep-11,706423,18366.998
Oct-11,723246,18804.396
Nov-11,682682,17749.732
Dec-11,701368,18235.568
Jan-12,677716,17620.616
Feb-12,647034,16822.884
Mar-12,728653,18944.978
Apr-12,707046,18383.196
May-12,725746,18869.396
Jun-12,735119,19113.094
Jul-12,757513,19695.338
Aug-12,753513,19591.338
Sep-12,678037,17628.962
Oct-12,694760,18063.76
Nov-12,669426,17405.076
Dec-12,670923,17443.998
Jan-13,662112,17214.912
Feb-13,607640,15798.64
Mar-13,710309,18468.034
Apr-13,693922,18041.972
May-13,721507,18759.182
Jun-13,719401,18704.426
Jul-13,751578,19541.028
Aug-13,747142,19425.692
Sep-13,683442,17769.492
Oct-13,708629,18424.354
Nov-13,655944,17054.544
Dec-13,662387,17222.062
Jan-14,624904,16247.504
Feb-14,577283,15009.358
Mar-14,696517,18109.442
Apr-14,676581,17591.106
May-14,696041,18097.066
Jun-14,702168,18256.368
Jul-14,735930,19134.18
Aug-14,724969,18849.194
Sep-14,665764,17309.864
Oct-14,693956,18042.856
Nov-14,648911,16871.686
Dec-14,666278,17323.228
Jan-15,634742,16503.292
Feb-15,569978,14819.428
Mar-15,683908,17781.608
Apr-15,669813,17415.138
May-15,690177,17944.602
Jun-15,697448,18133.648
Jul-15,733014,19058.364
Aug-15,724738,18843.188
Sep-15,658555,17122.43
Oct-15,687735,17881.11
Nov-15,651194,16931.044
Dec-15,659795,17154.67
,,
,,
SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment,
